dest_lat,dest_lon,Destination
8.0,-2.0,Ghana
36.133333,-5.35,Gibraltar
-11.5,47.333333,Glorioso Islands
39.0,22.0,Greece
72.0,-40.0,Greenland
12.116667,-61.666667,Grenada
16.25,-61.583333,Guadeloupe
13.4444444,144.7366667,Guam
15.5,-90.25,Guatemala
49.583333,-2.333333,Guernsey
11.0,-10.0,Guinea
12.0,-15.0,Guinea-Bissau
5.0,-59.0,Guyana
19.0,-72.416667,Haiti
-53.0,73.0,Heard Island and McDonald Islands
15.0,-86.5,Honduras
22.25,114.166667,Hong Kong
47.0,20.0,Hungary
65.0,-18.0,Iceland
20.0,77.0,India
-5.0,120.0,Indonesia
32.0,53.0,Iran
33.0,44.0,Iraq
53.0,-8.0,Ireland
54.25,-4.5,Isle of Man
31.5,34.75,Israel
42.833333,12.833333,Italy
18.25,-77.5,Jamaica
36.0,138.0,Japan
49.216667,-2.116667,Jersey
31.0,36.0,Jordan
-17.05833,42.71667,Juan de Nova Island
48.0,68.0,Kazakhstan
1.0,38.0,Kenya
-5.0,-170.0,Kiribati
42.583333,21.0,Kosovo
29.5,47.75,Kuwait
41.0,75.0,Kyrgyzstan
18.0,105.0,Laos
57.0,25.0,Latvia
33.833333,35.833333,Lebanon
-29.5,28.25,Lesotho
6.5,-9.5,Liberia
25.0,17.0,Libya
47.166667,9.533333,Liechtenstein
56.0,24.0,Lithuania
49.75,6.166667,Luxembourg
22.157778,113.559722,Macau
41.833333,22.0,Macedonia
-20.0,47.0,Madagascar
-13.5,34.0,Malawi
2.5,112.5,Malaysia
3.2,73.0,Maldives
17.0,-4.0,Mali
35.916667,14.433333,Malta
10.0,167.0,Marshall Islands
14.666667,-61.0,Martinique
20.0,-12.0,Mauritania
-20.3,57.583333,Mauritius
-12.833333,45.166667,Mayotte
23.0,-102.0,Mexico
47.0,29.0,Moldova
43.733333,7.4,Monaco
46.0,105.0,Mongolia
42.5,19.3,Montenegro
16.75,-62.2,Montserrat
32.0,-5.0,Morocco
-18.25,35.0,Mozambique
-22.0,17.0,Namibia
-0.533333,166.916667,Nauru
28.0,84.0,Nepal
52.5,5.75,Netherlands
-21.5,165.5,New Caledonia
-42.0,174.0,New Zealand
13.0,-85.0,Nicaragua
16.0,8.0,Niger
10.0,8.0,Nigeria
-19.033333,-169.866667,Niue
-29.033333,167.95,Norfolk Island
40.0,127.0,North Korea
16.0,146.0,Northern Mariana Islands
62.0,10.0,Norway
21.0,57.0,Oman
30.0,70.0,Pakistan
6.0,134.0,Palau
9.0,-80.0,Panama
-6.0,147.0,Papua New Guinea
-22.993333,-57.996389,Paraguay
-10.0,-76.0,Peru
13.0,122.0,Philippines
-25.066667,-130.1,Pitcairn Islands
52.0,20.0,Poland
39.5,-8.0,Portugal
18.2482882,-66.4998941,Puerto Rico
25.5,51.25,Qatar
-1.0,15.0,Republic of the Congo
-21.1,55.6,Reunion
46.0,25.0,Romania
60.0,100.0,Russia
-2.0,30.0,Rwanda
17.9,-62.833333,Saint Barthelemy
17.333333,-62.75,Saint Kitts and Nevis
13.883333,-60.966667,Saint Lucia
18.075,-63.05833,Saint Martin
46.833333,-56.333333,Saint Pierre and Miquelon
13.083333,-61.2,Saint Vincent and the Grenadines
-13.803096,-172.178309,Samoa
43.933333,12.416667,San Marino
1.0,7.0,Sao Tome and Principe
25.0,45.0,Saudi Arabia
14.0,-14.0,Senegal
44.0,21.0,Serbia
-4.583333,55.666667,Seychelles
8.5,-11.5,Sierra Leone
1.366667,103.8,Singapore
18.04167,-63.06667,Sint Maarten
48.666667,19.5,Slovakia
46.25,15.166667,Slovenia
-8.0,159.0,Solomon Islands
6.0,48.0,Somalia
-30.0,26.0,South Africa
-56.0,-33.0,South Georgia and South Sandwich Islands
37.0,127.5,South Korea
8.0,30.0,South Sudan
40.0,-4.0,Spain
7.0,81.0,Sri Lanka
16.0,30.0,Sudan
4.0,-56.0,Suriname
78.0,20.0,Svalbard
-26.5,31.5,Swaziland
62.0,15.0,Sweden
47.0,8.0,Switzerland
35.0,38.0,Syria
24.0,121.0,Taiwan
39.0,71.0,Tajikistan
-6.0,35.0,Tanzania
15.0,100.0,Thailand
-8.833333,125.75,Timor-Leste
8.0,1.166667,Togo
-9.0,-171.75,Tokelau
-20.0,-175.0,Tonga
11.0,-61.0,Trinidad and Tobago
-15.866667,54.416667,Tromelin Island
34.0,9.0,Tunisia
39.059012,34.911546,Turkey
40.0,60.0,Turkmenistan
21.733333,-71.583333,Turks and Caicos Islands
-8.0,178.0,Tuvalu
2.0,33.0,Uganda
49.0,32.0,Ukraine
24.0,54.0,United Arab Emirates
54.0,-4.0,United Kingdom
39.828175,-98.5795,United States
-33.0,-56.0,Uruguay
5.8811111,-162.0725,US Minor Outlying Islands
18.3482891,-64.9834807,US Virgin Islands
41.707542,63.84911,Uzbekistan
-16.0,167.0,Vanuatu
41.9,12.45,Vatican City
8.0,-66.0,Venezuela
16.166667,107.833333,Vietnam
-13.3,-176.2,Wallis and Futuna
31.666667,35.25,West Bank
25.0,-13.5,Western Sahara
15.5,47.5,Yemen
-15.0,30.0,Zambia
-19.0,29.0,Zimbabwe
